Stop_distance_mm,Right_distance_mm,Left_distance_mm,Decision,Moving_distance_mm
0.029576071,27,36,left,15
0.387596434,30,38,left,14
0.571965454,32,37,left,10
0.035076987,34,33,right,15
0.678806852,29,25,right,11
0.650926155,26,45,left,15
0.61716979,32,25,right,13
0.860644254,34,34,left,14
0.967774084,28,26,right,12
0.222218897,31,42,left,15
0.042465349,35,31,right,14
0.513812498,34,39,left,15
0.612354781,28,28,left,13
0.019915545,31,29,right,10
0.93713801,35,31,right,11
0.606769082,31,42,left,14
0.349917887,32,30,right,11
0.447298206,28,42,left,14
0.812748599,31,37,left,13
0.997535634,27,39,left,15
0.599268714,34,28,right,10
0.770943367,27,30,left,13
0.879245195,33,44,left,11
0.032457001,34,42,left,10
0.089363112,32,30,right,10
0.449907382,25,45,left,13
0.497715799,35,36,left,12
0.557988399,31,27,right,10
0.704476311,25,39,left,11
0.924678556,28,35,left,15
0.868205931,26,30,left,13
0.324548645,30,43,left,12
0.605422767,28,28,left,12
0.025508623,28,35,left,13
0.419681566,29,36,left,12
0.827031765,26,32,left,15
0.64322092,26,45,left,13
0.949965522,34,29,right,12
0.172215325,25,26,left,12
0.538592722,30,28,right,12
0.199791586,35,38,left,14
0.292966891,29,28,right,10
0.173408811,30,42,left,14
0.151812284,28,29,left,13
0.988433321,31,36,left,10
0.203683265,28,44,left,14
0.516659698,31,31,left,13
0.484306362,34,42,left,10
0.171762942,27,31,left,10
0.85903805,34,36,left,13
0.087175205,31,40,left,12
0.340801043,33,31,right,10
0.350736888,35,43,left,11
0.203600818,33,42,left,10
0.418767708,31,33,left,15
0.360072142,28,44,left,14
0.729752246,28,35,left,12
0.740902114,31,43,left,13
0.902946153,35,33,right,13
0.639418456,35,28,right,12
0.890034167,30,38,left,13
0.781632653,26,27,left,15
0.164075443,32,37,left,11
0.321063779,26,40,left,13
0.703153461,32,41,left,12
0.106285139,25,28,left,11
0.382882995,29,25,right,14
0.181906801,33,27,right,11
0.723029371,26,39,left,14
0.195009371,30,39,left,11
0.141153148,27,37,left,14
0.753091198,35,29,right,13
0.38665538,31,40,left,15
0.585962653,31,34,left,12
0.881309283,25,30,left,13
0.175418398,34,25,right,11
0.196131461,29,42,left,13
0.664825721,28,41,left,15
0.46146062,28,32,left,10
0.576470353,29,41,left,14
0.698945992,25,27,left,13
0.687640925,31,33,left,11
0.584850323,25,28,left,11
0.673000401,31,29,right,12
0.646028263,34,27,right,13
0.54660609,26,34,left,15
0.877460033,30,31,left,10
0.969416819,30,45,left,12
0.794223226,31,26,right,11
0.791548305,30,33,left,15
0.282634197,31,45,left,10
0.281194675,33,33,left,15
0.770294259,29,41,left,13
0.654604589,32,33,left,11
0.817444345,25,28,left,13
0.961016225,25,25,left,11
0.568051964,28,31,left,13
0.809661175,28,35,left,10
0.414061187,35,27,right,11
0.953056462,33,34,left,13
0.011469877,34,40,left,14
0.45229131,33,40,left,14
0.399910665,34,33,right,13
0.99217656,31,35,left,11
0.78884061,29,27,right,11
0.238007418,29,28,right,11
0.432680662,32,26,right,12
0.540970067,25,43,left,14
0.745597608,29,40,left,10
0.41750009,29,32,left,14
0.423297393,32,45,left,15
0.149677181,30,33,left,10
0.778293633,30,42,left,12
0.646521758,25,40,left,14
0.472542824,35,39,left,12
0.487832015,34,41,left,10
0.021339638,34,43,left,15
0.865540547,27,29,left,10
0.178445336,27,35,left,12
0.080839518,27,35,left,15
0.909958282,28,45,left,14
0.494856047,26,33,left,14
0.742767027,35,37,left,12
0.168392229,32,43,left,14
0.89539914,25,31,left,11
0.477532816,27,39,left,12
0.215335844,28,44,left,12
0.174002098,29,37,left,11
0.305917484,27,45,left,14
0.897988189,35,45,left,15
0.303465766,34,25,right,14
0.875502503,30,25,right,10
0.901714311,28,33,left,14
0.379927795,32,34,left,13
0.526252745,34,25,right,15
0.382893879,34,28,right,10
0.196401925,29,27,right,15
0.404553426,35,41,left,12
0.784490019,30,32,left,14
0.388530706,32,44,left,12
0.910011101,26,30,left,12
0.865988597,26,44,left,13
0.35268704,25,37,left,12
0.677780338,30,31,left,10
0.569157209,26,29,left,13
0.648391068,31,35,left,10
0.568559043,29,44,left,14
0.560282075,26,44,left,14
0.978412608,32,31,right,10
0.996529356,25,35,left,12
0.100932073,31,37,left,14
0.059466909,30,39,left,10
0.136678357,27,25,right,13
0.680686645,32,31,right,15
0.758820191,30,33,left,12
0.793772577,35,34,right,10
0.498111515,35,45,left,12
0.095242708,28,26,right,15
0.54098524,25,31,left,15
0.78836436,35,25,right,11
0.840800242,26,44,left,11
0.206096137,29,44,left,11
0.647879662,32,42,left,13
0.401998785,29,27,right,14
0.720353322,31,28,right,14
0.945187079,25,25,left,14
0.064927258,28,31,left,12
0.243711207,34,27,right,10
0.054702422,27,40,left,13
0.848212048,34,25,right,10
0.33813863,26,44,left,11
0.610796729,26,29,left,12
0.272049394,28,27,right,14
0.287852993,34,30,right,15
0.842042908,27,33,left,13
0.334393868,34,45,left,12
0.971729208,35,37,left,14
0.386674671,29,39,left,13
0.961008675,27,44,left,14
0.765951329,27,37,left,10
0.282992426,31,34,left,15
0.089232183,27,27,left,14
0.782510704,26,39,left,14
0.101519813,25,31,left,12
0.197091865,33,31,right,12
0.221524447,27,27,left,10
0.321576226,30,26,right,15
0.866364401,34,33,right,14
0.782919929,33,45,left,13
0.432794703,25,39,left,11
0.8420877,30,32,left,11
0.3793245,34,26,right,15
0.988050547,26,25,right,10
0.430330464,28,29,left,10
0.749189501,31,42,left,11
0.709332678,28,31,left,10
0.405426922,34,40,left,14
0.998740616,28,43,left,13
0.884683687,27,34,left,10
0.044393765,27,42,left,14
0.679543836,29,31,left,15
0.074084429,33,33,left,15
0.931153442,28,33,left,10
0.248656268,28,38,left,15
0.510615943,26,36,left,12
0.114108684,33,35,left,15
0.910462925,33,40,left,11
0.294558515,34,37,left,10
0.245916802,34,43,left,10
0.28235222,32,36,left,12
0.991124206,28,30,left,13
0.386265997,35,28,right,11
0.603499192,35,41,left,13
0.893516755,30,34,left,13
0.446912983,27,41,left,14
0.94627758,33,27,right,10
0.352607522,34,37,left,14
0.223715291,30,32,left,10
0.004991233,34,45,left,13
0.2496385,35,42,left,13
0.555840387,35,43,left,14
0.227078759,33,30,right,10
0.166448078,31,42,left,15
0.986742835,27,34,left,12
0.140766585,25,39,left,15
0.076749406,31,26,right,10
0.115078451,35,36,left,11
0.184433548,26,39,left,10
0.569608593,34,39,left,12
0.654765656,28,30,left,14
0.171809043,26,31,left,15
0.841618513,30,33,left,14
0.791029014,25,28,left,11
0.463684485,35,39,left,11
0.853118041,26,31,left,12
0.048000549,35,25,right,13
0.574606568,32,30,right,10
0.740888657,31,38,left,13
0.035759921,28,39,left,10
0.336626666,35,41,left,15
0.074434667,29,37,left,10
0.288370013,27,38,left,14
0.967670393,33,38,left,10
0.371574274,32,36,left,14
0.082461822,26,38,left,14
0.154874253,25,31,left,12
0.6288651,30,28,right,12
0.791908928,34,36,left,14
0.161159114,33,44,left,12
0.601745916,35,29,right,15
0.940788653,32,36,left,14
0.585919115,27,34,left,15
0.59893221,25,25,left,11
0.369598859,28,42,left,13
0.6476523,26,28,left,14
0.375318494,30,35,left,13
0.291367905,25,27,left,14
0.835689204,26,33,left,12
0.663388706,29,44,left,15
0.215929004,28,38,left,11
0.056850005,26,32,left,12
0.128423459,26,41,left,15
0.075115551,33,27,right,10
0.95295256,31,26,right,15
0.347109133,27,33,left,11
0.00031597,31,31,left,10
0.029620244,30,27,right,15
0.675643939,28,37,left,14
0.923758236,32,33,left,14
0.900424905,30,44,left,10
0.373121056,34,37,left,15
0.955572492,31,45,left,11
0.772735218,31,27,right,10
0.294490917,35,29,right,10
0.962159762,28,33,left,15
0.481346148,25,41,left,12
0.088151523,26,34,left,14
0.175762797,28,35,left,11
0.825370004,35,42,left,15
0.685674414,32,29,right,10
0.708138714,35,33,right,10
0.356758963,25,32,left,11
0.384308942,27,43,left,13
0.474279627,31,44,left,12
0.486204483,32,25,right,14
0.161553826,32,45,left,11
0.033045582,34,43,left,10
0.669195897,26,40,left,10
0.658081947,33,36,left,11
0.622639124,26,33,left,14
0.63335569,27,32,left,13
0.520433849,27,27,left,15
0.483117394,34,28,right,11
0.153035297,31,33,left,15
0.723862515,26,32,left,11
0.331724745,28,44,left,14
0.199611037,25,25,left,11
0.166497462,29,38,left,15
0.985739691,28,43,left,15
0.60567156,31,44,left,11
0.942766575,26,26,left,15
0.939370072,35,28,right,13
0.247664962,35,45,left,15
0.00169772,29,30,left,12
0.966035613,25,38,left,12
0.693008973,28,36,left,10
0.247281501,32,37,left,12
0.091703752,29,27,right,11
0.47239487,32,27,right,11
0.171206104,27,29,left,11
0.294322597,34,40,left,15
0.203877152,28,33,left,13
0.876954882,30,36,left,15
0.710939829,33,40,left,13
0.444636358,32,41,left,10
0.368575792,35,39,left,11
0.610410708,31,43,left,11
0.916722847,30,37,left,10
0.293783015,31,40,left,13
0.288852374,28,33,left,14
0.581669156,34,38,left,12
0.437987067,31,39,left,11
0.905470834,26,45,left,11
0.142826824,29,38,left,10
0.732385388,34,45,left,15
0.938114558,26,28,left,13
0.048388275,31,29,right,15
0.04620379,31,32,left,12
0.56403401,25,40,left,11
0.836573458,33,25,right,13
0.63454501,29,34,left,13
0.57843219,31,27,right,15
0.770002837,35,26,right,10
0.405422728,34,28,right,11
0.165268859,28,30,left,13
0.276656716,32,44,left,11
0.951166646,27,36,left,14
0.010730377,31,35,left,13
0.272829414,32,31,right,15
0.51224311,34,28,right,11
0.944952626,32,36,left,11
0.297813036,29,45,left,14
0.043418117,33,40,left,13
0.515196267,27,31,left,11
0.810005326,34,37,left,14
0.087630554,32,44,left,13
0.414708903,29,25,right,10
0.744056533,27,41,left,14
0.17130695,34,34,left,10
0.929064953,33,33,left,13
0.04468817,30,34,left,14
0.714422418,29,34,left,12
0.665691956,33,30,right,14
0.28996357,27,31,left,10
0.319103024,29,25,right,11
0.923039511,35,41,left,12
0.977317613,29,27,right,13
0.878853729,27,35,left,12
0.450812313,33,26,right,10
0.103695068,27,34,left,10
0.078433056,25,38,left,12
0.954669671,26,41,left,13
0.308128939,30,25,right,11
0.749898306,27,36,left,15
0.220765726,35,38,left,11
0.32798242,27,41,left,11
0.955642451,26,34,left,11
0.468799122,34,44,left,15
0.994186698,29,35,left,11
0.540804274,31,43,left,12
0.028948164,33,43,left,15
0.882387485,33,35,left,14
0.689515204,35,41,left,10
0.680544094,31,45,left,11
0.319881081,34,43,left,10
0.646372597,35,31,right,12
0.781075375,34,41,left,11
0.292294486,35,39,left,15
0.610487518,28,43,left,15
0.448123373,25,37,left,14
0.621938171,32,41,left,13
0.596290299,33,43,left,11
0.882070095,28,39,left,13
0.832349543,27,36,left,11
0.839925879,26,39,left,12
0.131983188,33,45,left,14
0.498155912,35,33,right,12
0.297622019,33,42,left,11
0.907389556,34,36,left,15
0.082918984,28,34,left,14
0.967995659,29,26,right,12
0.877790042,30,26,right,14
0.483536813,30,26,right,10
0.406097121,33,35,left,11
0.308051673,30,32,left,13
0.659422569,30,40,left,11
0.908783708,30,44,left,10
0.100503337,27,31,left,13
0.880516593,25,43,left,13
0.352780195,29,35,left,10
0.134433265,31,42,left,13
0.686143117,34,44,left,11
0.445162361,27,38,left,15
0.372399946,29,37,left,15
0.060198028,31,41,left,11
0.557181889,26,42,left,12
0.000831519,31,40,left,11
0.700738688,32,34,left,11
0.354304764,31,40,left,11
0.512478288,35,32,right,15
0.871255526,28,27,right,10
0.05443297,28,45,left,12
0.183864004,34,30,right,10
0.701906947,25,44,left,11
0.284282306,31,26,right,11
0.426282306,31,32,left,11
0.15796023,31,26,right,13
0.957430201,25,25,left,10
0.10257887,26,39,left,12
0.050694429,30,29,right,14
0.118497842,30,27,right,12
0.660297653,30,40,left,13
0.838097816,32,28,right,14
0.377497503,30,37,left,14
0.152699549,32,36,left,14
0.100676099,27,38,left,14
0.75895182,32,27,right,10
0.866818488,32,34,left,13
0.277007598,27,34,left,10
0.250219117,31,45,left,15
0.58351034,26,27,left,13
0.216371048,25,42,left,12
0.956997271,27,26,right,10
0.011399393,34,37,left,14
0.940770388,30,37,left,12
0.029582799,29,45,left,13
0.646519127,33,37,left,14
0.609086044,33,27,right,15
0.632942966,25,26,left,10
0.532480264,30,40,left,11
0.349036395,32,43,left,14
0.031470222,35,25,right,15
0.267728321,34,30,right,14
0.104153404,25,42,left,11
0.806494692,25,32,left,13
0.398063546,33,25,right,10
0.292243263,26,45,left,14
0.765051523,33,34,left,10
0.156795791,28,35,left,15
0.879060602,35,31,right,13
0.387439663,26,42,left,11
0.749515877,26,25,right,10
0.316734598,25,30,left,13
0.00860677,25,37,left,15
0.66301017,26,27,left,15
0.612755753,34,27,right,12
0.652870512,28,44,left,10
0.781041013,27,25,right,13
0.522643975,34,45,left,14
0.730270213,30,25,right,12
0.251076018,29,44,left,12
0.735440093,35,28,right,11
0.269367002,34,37,left,11
0.6767607,29,36,left,12
0.864419395,31,32,left,14
0.143055727,33,29,right,11
0.440789429,34,38,left,10
0.612390904,32,31,right,11
0.490519214,34,33,right,11
0.574122573,28,45,left,15
0.57913379,35,29,right,13
0.184725496,35,40,left,10
